OBJECTID,FRAREGION,RROWNER1,RROWNER2,TRKRGHTS1,TRKRGHTS2,STRACNET,SIGSYS,PASSNGR,RAIL_TYPE,ABAND_YR,SOURCE,SEGMENT_MILES,FULL_NAME,FULLNAME_ABBR,SHAPE.LEN
6981,8,CPRS, , , , ,OCS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.05239207,Canadian Pacific Railway,CPRS,0.00104122305945748
6982,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.16085069,Burlington Northen Santa Fe Railway,BNSF,0.0249917135233808
6465,8,BNSF, ,, ,,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.4992076,Burlington Northen Santa Fe Railway,BNSF,0.00847562584951461
6466,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.02214725,Burlington Northen Santa Fe Railway,BNSF,0.0220056916754571
6467,8,RRVW, , , , ,Unk, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.45024087,Red River Valley and Western Railroad,RRVW,0.00800269399394784
6468,8,NPR, , , , ,MAN, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.40171514,Northern Plains Railroad,NPR,0.00625351450065
6469,8, , , , , ,Unk, ,A,1982,Primary source was NTAD; adjusted to imagery; additional attributes from ND_HUB,0.34710547,Unable to resolve name,Unknown,0.00702955729451122
6470,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.47607011,Burlington Northen Santa Fe Railway,BNSF,0.00927390827183572
6471,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.22484429,Burlington Northen Santa Fe Railway,BNSF,0.00404287803685456
6472,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.20091269,Burlington Northen Santa Fe Railway,BNSF,0.0042287108298848
6473,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.1924187,Burlington Northen Santa Fe Railway,BNSF,0.00405956042838904
6474,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.13085467,Burlington Northen Santa Fe Railway,BNSF,0.00276242248918608
6475,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.1442239,Burlington Northen Santa Fe Railway,BNSF,0.0028976816934105
6476,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.17299541,Burlington Northen Santa Fe Railway,BNSF,0.0036380640257109
6671,8,DMVW, ,CPRS, , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,17.00866744,Dakota Missouri Valley and Western Railroad,DMVW,0.351451898815831
6672,8,CPRS, , , , ,OCS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.73581473,Canadian Pacific Railway,CPRS,0.0146479865038703
6673,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.5469936,Burlington Northen Santa Fe Railway,BNSF,0.00812027180242564
6674,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.77192179,Burlington Northen Santa Fe Railway,BNSF,0.011197229476361
6675,8,BNSF, , , , ,MAN, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.34847797,Burlington Northen Santa Fe Railway,BNSF,0.00701867878203931
6676,8,BNSF, , , , ,Unk, ,A,2012,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.40765696,Burlington Northen Santa Fe Railway,BNSF,0.00591728632490388
6677,8,RRVW, , , , ,Unk, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.32042462,Red River Valley and Western Railroad,RRVW,0.00670291174347008
6678,8,BNSF, , , , ,Unk, ,A,1980,Primary source was ND_HUB; adjusted to imagery,19.67325423,Burlington Northen Santa Fe Railway,BNSF,0.407430061919482
6679,8,BNSF, ,AMTK, ,S,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.28161681,Burlington Northen Santa Fe Railway,BNSF,0.006095064279806
6680,8,MHC, , , , ,Unk, ,A,2006,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.03280041,Mohall Central Railroad,MHC,0.0154709306949405
6681,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.41140964,Burlington Northen Santa Fe Railway,BNSF,0.00755234584351685
6682,8,BNSF, , , , ,MAN, ,A,2004,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.26548703,Burlington Northen Santa Fe Railway,BNSF,0.00582494919029001
6683,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.20991769,Burlington Northen Santa Fe Railway,BNSF,0.00386175402646573
6837,8,CPRS, , , , ,OCS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.11057303,Canadian Pacific Railway,CPRS,0.0209671344495913
